,district,price,area,bedroom,bathroom,facade,nearhospital,nearschool,nearsupermarket,nearuniversity,nearbuildings,urgent,floor
2597,Tân Phú,10.0,80.0,,,True,,,,,,,4.0
2598,Phú Nhuận,4299000000.0,24.7,3.0,4.0,True,,True,True,,,True,3.0
2599,Quận 8,13.5,80.0,9.0,6.0,True,True,True,True,True,True,,4.0
2600,Quận 8,4.2,43.0,3.0,2.0,,,,,,,,1.0
2601,Bình Tân,4.2,78.0,3.0,2.0,,,,,,,True,2.0
2602,Phú Nhuận,5.95,40.0,5.0,3.0,True,,,,,,,4.0
2603,Q.9,3.99,80.0,2.0,3.0,True,,,True,,,True,
2604,Quận Bình Thạnh,3.6,,2.0,,True,True,True,,,,,2.0
2605,Quận Bình Thạnh,5.0,,4.0,3.0,True,True,True,True,,,,3.0
2606,,5.95,,2.0,,True,,,,,True,,3.0
2607,Q. 12,2.6,44.0,2.0,,,,,,,,,
2608,Q. 12,2.6,44.0,2.0,,,,,,,,,1.0
2609,Phú Nhuận,175000000000,620.0,,,True,,,,,,,9.0
2610,,5.1,68.0,4.0,3.0,,,,,,,True,4.0
2611,Bình Hưng Hòa B,4.85,60.0,4.0,5.0,True,,,,,,True,4.0
2612,Bình Thạnh,4,40.0,2.0,2.0,,True,,True,True,,,3.0
2613,,3.1,55.0,3.0,2.0,True,,,,,True,,2.0
2614,Bình Thạnh,4.0,45.0,2.0,,,,,,,,True,
2615,Q7,10,80.0,,,True,,,,,,,
2616,,3.1,55.0,3.0,2.0,True,,,,,,,2.0
2617,BÌNH THẠNH,4.0,45.0,3.0,2.0,True,True,True,True,False,False,False,2.0
2618,Gò Vấp,4,,5.0,3.0,,,,,,,,4.0
2619,Tân Phú,5.8,50.0,,,False,,True,,,,True,3.0
2620,Quận Tân Phú,5.8,50.0,,,,,True,,,,True,3.0
2621,Bình Tân,3.5,64.0,,,,True,,True,,,,
2622,Tân Phú,8.86,100.0,,,True,,,,,,True,3.0
2623,Q9,13.5,102.0,4.0,5.0,,,,,,,True,3.0
2624,Quận 6-Quận 8,3.0,40.0,,,,,,,,,,2.0
2625,Phú Nhuận,4.0,48.0,3.0,3.0,,,,,,,,3.0
2626,,6.5,,4.0,4.0,,,,True,,,,3.0
2627,Bình Thạnh,4,40.0,3.0,3.0,True,,,,True,True,,3.0
2628,Quận 2,5976000.0,,,,,,,,,,,
2629,Phú Nhuận,6.0,55.0,,,,True,True,True,,,True,4.0
2630,Quận 9,3.85,75.0,3.0,2.0,,,True,True,True,,True,
2631,Tân Bình,23.5,252.0,,,True,,,,,,,3.0
2632,Quận 3,21.0,103.5,,,True,,,,,,True,2.0
2633,Bình Thạnh,5,47.0,2.0,2.0,True,,,True,True,,,2.0
2634,Bình Thạnh,5.85,49.0,,,,,,,,,True,4.0
2635,Q.10,,49.0,3.0,4.0,,,,,,,,5.0
2636,Q.10,,45.0,5.0,4.0,,True,True,,True,,,6.0
2637,,,,,,,,,,,,,
2638,Bình Tân,5.5,96.0,4.0,,,,True,True,,True,True,3.0
2639,Quận Tân Phú,7.4,71.4,,,True,,True,True,,,,4.0
2640,Quận Bình Tân,5.3,64.0,,,True,,,True,,,,3.0
2641,,3.32,142.9,5.0,5.0,,,,,,,,4.0
2642,Gò Vấp,3.7,5.0,2.0,2.0,True,,,True,,,,2.0
2643,Phú Nhuận,3300000000.0,74.6,3.0,3.0,,,,,,,,3.0
2644,Quận,5.9,51.0,2.0,2.0,True,True,,True,,,True,3.0
2645,PHÚ THỌ HÒA,3.0,,,3.0,True,,True,,,,,3.0
2646,Thủ Đức,24.0,253.0,,,True,,,,,,,3.0
2647,,,,,,,,,,,,,
2648,Q.12,2.0,60.0,,,True,,,,True,,,
2649,Bình Thạnh,5850.0,45.0,3.0,3.0,,,,,,,,4.0
2650,TP.HCM,2410000.0,,,,,,,,,,,
2651,,3.9,50.0,2.0,2.0,,,True,,True,,True,
2652,BÌNH THẠNH,4.4,35.0,2.0,2.0,True,True,False,True,True,False,False,2.0
2653,Quận 12,2.1,,2.0,,True,True,False,False,False,True,,2.0
2654,,550000000,75.0,2.0,2.0,True,,True,True,,,True,
2655,,4,60.0,3.0,2.0,True,True,,,,,True,2.0
2656,Bình Tân,3.6,44.0,2.0,,True,,,True,,,True,2.0
2657,Quận 7,13.9,176.0,3.0,3.0,,,,,,,,
2658,Tân Phú,10.8,80.0,,,True,,,True,,True,True,4.0
2659,Bình Tân,3.2,35.0,,,,True,True,True,,,True,
2660,Bình Tân,5.6,70.0,,,True,,,,,,,4.0
2661,Quận Bình Tân,5.5,45.0,,,True,,,,,,True,4.0
2662,Bình Tân,1.35,32.0,2.0,,True,,,,,,,2.0
2663,,3.8,96.0,2.0,,,,,True,,,True,2.0
2664,Quận 6,3,28.0,2.0,,True,,,,,,,3.0
2665,Tân Bình,4.5,,,,True,,,,,,True,3.0
2666,Q. 7,18.0,125.0,,,,,True,True,,,True,4.0
2667,Bình Thạnh,4,64.0,2.0,1.0,True,,True,True,True,,,2.0
2668,Q10,3.5,57.0,6.0,,True,,,,,,True,2.0
2669,THI TRẤN,3.0,43.0,2.0,2.0,,,,,,,True,2.0
2670,,,,,,,,,,,,,
2671,Gò Vấp,6,65.0,4.0,4.0,,,True,,,,,4.0
2672,Bình Tân,3.4,50.0,2.0,,,,,True,,,True,2.0
2673,Bình Thạnh,3.0,40.0,3.0,,,,,,,,,2.0
2674,Bình Thạnh,6.3,60.0,2.0,2.0,True,,,,,,True,
2675,Hóc Môn,,79.2,,,True,,,,,,True,
2676,Huyện Hóc Môn,,79.2,,,True,,,,,,True,
2677,Q.Tân Phú,10.8,72.0,,,True,,,True,,,,4.0
2678,Bình Thạnh,1890,39.0,2.0,2.0,,,,,,,,3.0
2679,Huyện,,56.0,3.0,2.0,,,True,,,,,
2680,Q9,15.0,85.0,4.0,5.0,,,,,,,True,3.0
2681,Quận Tân Phú,4.9,60.0,,,,,True,True,,,True,
2682,Quận 5,26.0,76.0,,,True,,,,,,True,2.0
2683,Phú Nhuận,,44.4,5.0,4.0,True,,,,,,,4.0
2684,"['TP.Thủ Đức', 'Q.Tân Bình', 'Tp. Nha Trang', 'Quận 2']","[1950000.0, 2150000.0, 3000000.0, 3300000.0, 3900000.0]",,,,,,,,,,,
2685,Quận Bình Thạnh,6.7,53.5,8.0,8.0,True,,,,,,True,5.0
2686,Bình Tân,5.5,80.0,4.0,3.0,True,True,True,True,,,True,3.0
2687,Bình Tân,5.5,80.0,4.0,3.0,True,True,True,True,,,True,3.0
2688,Bình Tân,5.4,68.0,4.0,3.0,True,,,,,,True,3.0
2689,Tân Quý,3.7,,2.0,3.0,,,True,True,,,True,3.0
2690,,5500000000.0,66.0,3.0,1.0,True,,,,,,,
2691,Quận 1,4.0,48.0,6.0,3.0,,,,,,,True,3.0
2692,Bình Tân,5.68,67.5,,,True,,,,,,,4.0
2693,Quận 12,2.8,40.0,2.0,,,,,,True,,,2.0
2694,Tp Thủ Đức,40.0,250.0,22.0,,True,,,True,True,,,4.0
2695,Huyện,500000000.0,72.0,3.0,1.0,,,,,,,True,1.0
2696,Gò Vấp,6.5,47.0,4.0,4.0,True,,,,,,,3.0
2697,Bình Tân,3.8,61.0,,,True,True,True,True,,True,,2.0
2698,,2.95,,3.0,,True,,True,True,,,,4.0
2699,Quận Gò Vấp,3.75,,2.0,3.0,,,True,True,,,,3.0
2700,,5650000000.0,114.0,,,,,,,,,,
2701,Quận Tân Phú,10990000,72.0,,,True,,,,,,True,4.0
2702,,,84.7,2.0,4.0,True,,True,,,True,True,3.0
2703,Bình Thạnh,3640.0,21.12,3.0,3.0,True,,,,,,True,3.0
2704,Q. Tân Phú,10.99,72.0,,,True,,,,,,,4.0
2705,Gò Vấp,4180000000.0,47.3,4.0,3.0,,,,,,,,
2706,Quận 5,21,84.0,,,True,,,,,,True,2.0
2707,Q12,4.0,55.0,2.0,2.0,True,,,,,,,
2708,Bình Thạnh,7.0,44.0,2.0,2.0,True,True,False,True,True,False,False,2.0
2709,Tp Thủ Đức,12.5,125.0,14.0,,True,,True,,,,,4.0
2710,Tp Thủ Đức,12.5,125.0,14.0,,True,,True,,,,,4.0
2711,Bình Tân,3.15,36.0,3.0,2.0,True,True,,True,,,True,2.0
2712,Bình Tân,3.15,36.0,3.0,2.0,,True,True,True,,,True,2.0
2713,Quận 6,2.25,54.0,2.0,3.0,,,,,,,,3.0
2714,Quận 6,2250000000.0,54.0,2.0,3.0,,,,,,,,3.0
2715,Tân Bình,5.0,33.0,4.0,5.0,True,,,,,,True,5.0
2716,Tân Bình,5.0,33.0,4.0,5.0,True,,,,,,True,5.0
2717,Phú Nhuận,3.0,60.0,2.0,3.0,3,True,,True,,,,3.0
2718,Phú Nhuận,3.0,60.0,2.0,3.0,,True,,True,,,,3.0
2719,,3.9,52.0,4.0,,True,,,True,,,True,2.0
2720,,3.9,52.0,4.0,,True,,,True,,,True,2.0
2721,Quận Bình Thạnh,6.8,68.0,2.0,1.0,False,False,False,False,True,True,True,
2722,Quận Bình Thạnh,6.8,68.0,2.0,1.0,True,,,,True,True,True,
2723,Phú Nhuận,3415000000.0,55.3,2.0,2.0,,,,,,,,2.0
2724,Phú Nhuận,3415000000.0,55.3,2.0,2.0,,,,,,,,2.0
2725,Bình Tân,2.0,32.0,,,,,,,,,,2.0
2726,,3.8,60.0,2.0,1.0,False,False,True,True,True,False,False,2.0
2727,Tân Bình,3,44.0,,,,,True,True,,,,
2728,PHÚ NHUẬN,3.0,23.52,2.0,2.0,4.2,True,,True,,,,3.0
2729,Thủ Đức,,104.0,4.0,4.0,True,,True,True,,,,3.0
2730,,4.0,55.0,,,True,,,,,,,
2731,Gò Vấp,2.95,46.0,2.0,2.0,True,,,,,,,
2732,Gò Vấp,2950000000.0,46.0,2.0,2.0,True,,,,,,,
2733,,,,2.0,2.0,,,,,,,,
2734,Q1,7.7,44.0,4.0,,True,True,True,True,,,,4.0
2735,Huyện Hóc Môn,,75.0,,,,,True,True,,True,True,4.0
2736,Phú Nhuận,3.84,38.0,2.0,3.0,True,,True,True,,,,3.0
2737,Quận 8,6.6,54.0,3.0,3.0,True,,,,,,,2.0
2738,Bình Tân,3.4,70.0,3.0,,,,,,,,True,2.0
2739,,3.3,,2.0,2.0,,,True,True,,,,2.0
2740,Tân Bình,3.5,50.0,2.0,2.0,True,,,,,,,2.0
2741,Quận 9,15.0,168.0,,,,,,,,,True,3.0
2742,Tăng Nhơn Phú A,5.0,,4.0,3.0,True,True,True,True,,,True,3.0
2743,Quận 1,16.0,303.0,,,,,,,,True,True,2.0
2744,,8.5,,,,True,,True,,,True,,
2745,Bình Thạnh,3,47.0,2.0,2.0,True,True,,True,True,,,2.0
2746,Bình Thạnh,12.5,157.0,5.0,2.0,True,,,,,True,True,
2747,Quận 12,,40.0,,,,,,,,,True,2.0
2748,Bình Tân,4.8,66.0,3.0,,True,,True,True,,,,2.0
2749,Q7,7.0,64.0,3.0,4.0,True,True,True,True,True,True,True,4.0
2750,Q5,12.0,225.0,6.0,5.0,,True,True,True,,,True,5.0
2751,Tân Phú,11.0,80.0,6.0,6.0,True,,,True,,,,5.0
2752,Quận 9,1.9,23.0,2.0,,,,,,,,True,2.0
2753,Thủ Đức,4.8,77.0,,,True,,True,,True,,,
2754,Bình Tân,3.35,32.0,2.0,2.0,True,,,,,,True,2.0
2755,Bình Tân,,,2.0,2.0,True,,,,,,True,2.0
2756,Quận Tân Phú,3.7,26.0,,,4,,,,,,True,
2757,Tân Phú,3.7,,2.0,2.0,True,,,,,,,2.0
2758,Tân Phú,2.0,49.0,,,,,,,,,,
2759,Tân Bình,3.0,45.0,2.0,2.0,True,,,,,,,2.0
2760,Phú Nhuận,4.1,57.0,3.0,1.0,,True,,True,,,,2.0
2761,Thủ Đức,4.75,90.0,2.0,1.0,True,False,False,True,False,False,False,2.0
2762,,5.95,62.5,3.0,4.0,True,,,True,,,,3.0
2763,Bình Tân,5.8,81.2,4.0,1.0,True,,,,,,True,4.0
2764,Phú Nhuận,8650000000.0,30.0,3.0,2.0,True,,,,,,True,2.0
2765,Q5,2.8,20.1,2.0,2.0,True,,,,,,True,3.0
2766,Q5,2.8,20.1,2.0,2.0,True,,,,,,True,3.0
2767,Thủ Đức,21.0,133.0,6.0,6.0,True,,,,,,,4.0
2768,TP Thủ Đức,21.0,133.0,6.0,6.0,True,,,,,,,4.0
2769,Bình Tân,3.15,36.0,3.0,2.0,True,True,True,True,,,True,2.0
2770,Bình Tân,3.15,36.0,3.0,2.0,True,True,True,True,,,True,2.0
2771,Bình Tân,3.2,77.0,3.0,2.0,True,True,True,True,,,True,2.0
2772,Bình Tân,3.2,77.0,3.0,2.0,True,True,True,True,,,True,2.0
2773,Trung Mỹ Tây,2.0,52.0,,,,,,,,,True,2.0
2774,Trung Mỹ Tây,2.0,52.0,,,,,,,,,True,
2775,Phú Thọ Hoà,4.2,40.0,3.0,,,,True,True,,,,2.0
2776,Phú Thọ Hoà,4.2,40.0,3.0,,,,True,True,,,,2.0
2777,,4.2,40.0,3.0,,,,,,,,,2.0
2778,,4.2,40.0,3.0,,False,False,False,False,False,False,False,2.0
2779,Trung Mỹ Tây,2.0,52.0,,,,,,,,,True,
2780,Thủ Đức,5.3,51.0,4.0,2.0,,,,,True,,True,3.0
2781,Thủ Đức,5.3,51.0,4.0,2.0,,,True,True,True,,True,3.0
2782,,5.6,,4.0,,False,False,False,False,False,False,False,3.0
2783,Thủ Đức,4.1,52.0,2.0,,True,,True,,,,True,3.0
2784,Quận 6,5.2,7.2,2.0,,True,,True,True,,,True,2.0
2785,Bình Tân,4.99,62.0,3.0,,True,True,True,True,,,True,3.0
2786,Bình Thạnh,2400000000.0,38.5,2.0,2.0,True,,,,,,,3.0
2787,Quận Gò Vấp,2.2,,2.0,2.0,,,,,,,True,2.0
2788,Quận Thủ Đức,4141000.0,900.0,,,,,,,,,,
2789,Phú Nhuận,4.0,75.0,,,True,True,,True,,,,5.0
2790,Tp Thủ Đức,3.9,52.4,3.0,2.0,True,,True,True,True,,,3.0
2791,Quận Bình Thạnh,6.7,53.0,8.0,8.0,True,,,,,,True,5.0
2792,Thủ Đức,5.1,75.0,2.0,2.0,True,,True,True,True,,True,1.0
2793,Quận 9,3.0,6.1,,,True,,,,True,,,
2794,Quận 9,4.6,77.0,,,True,,,True,True,,,2.0
2795,Quận 12,2.3,21.0,2.0,2.0,,,,,,,,2.0
2796,Bình Tân,,,4.0,4.0,,,,,,,True,3.0
2797,Bình Thạnh,19.5,83.0,5.0,,,,,,True,,True,4.0
2798,Bình Tân,3600000000,74.0,,,True,,,True,,,True,2.0
2799,Quận Phú Nhuận,4.0,20.0,4.0,4.0,True,,,True,True,,,5.0
2800,,6.0,96.0,3.0,2.0,True,,,,,,,
2801,,6.0,,3.0,2.0,True,,,,,,,1.0
2802,,8.7,54.0,4.0,5.0,True,,,,,,,3.0
2803,Q.5,7.0,43.4,4.0,3.0,,,True,,True,,True,4.0
2804,Q.5,7.0,43.4,4.0,3.0,,,,,True,,True,4.0
2805,Q.5,7.0,43.4,4.0,3.0,True,,True,,True,,,4.0
2806,,5200000000.0,72.0,2.0,2.0,True,True,True,True,,,True,1.0
2807,Quận Bình Tân,3.0,58.0,,,True,True,True,True,,,,
2808,Bình Tân,6.5,98.0,5.0,4.0,True,,,True,,,True,2.0
2809,Gò Vấp,11500000000.0,99.0,,,True,,,,,,,4.0
2810,,15.0,88.0,6.0,,True,,,,,,,3.0
2811,Huyện Bình Chánh,570000000,75.0,2.0,2.0,True,True,True,True,False,True,True,2.0
2812,Phú Nhuận,3.9,151.6,5.0,4.0,True,,True,,,,True,4.0
2813,Phú Nhuận,3415000000.0,55.3,2.0,2.0,,,,,,,,2.0
2814,,6.6,,5.0,6.0,True,False,False,False,False,True,False,5.0
2815,Quận 6,10.0,72.0,4.0,5.0,True,,,,,,True,4.0
2816,Quận 6,11.0,96.0,2.0,2.0,True,,,,,,True,2.0
2817,Bình Tân,3.5,74.0,,,True,,True,,,,,
2818,Gò Vấp,11.8,78.0,4.0,4.0,True,,,,,,,5.0
2819,Phú Nhuận,3.0,31.0,2.0,2.0,True,True,,True,,,,3.0
2820,Bình Tân,5.68,100.0,3.0,,True,,,,,,,3.0
2821,Bình Tân,2.9,40.0,2.0,2.0,True,,,,,,,2.0
2822,Bình Thạnh,4,30.0,3.0,3.0,,True,,,,,,4.0
2823,Quận Tân Bình,1950000.0,,,,,,,,,,,
2824,Tân Bình,6.699,104.0,4.0,1.0,,,,,,,True,2.0
2825,Tân Phú,3.65,64.0,,,,,True,True,,,True,2.0
2826,Quận 10,4.9,35.0,2.0,2.0,True,,,,,,,2.0
2827,,7.3,35.0,3.0,3.0,True,,,,,,,3.0
2828,Quận Bình Tân,6.2,64.0,4.0,,True,True,True,True,,,,4.0
2829,Tân Phú,5.8,66.0,2.0,2.0,True,,,True,,,True,2.0
2830,Thủ Đức,5.8,80.0,4.0,4.0,,True,True,,,,True,3.0
2831,,3.9,70.0,3.0,,,,,,,,,1.0
2832,Bình Thạnh,4,30.0,2.0,2.0,True,True,,,True,,,3.0
2833,Gò Vấp,2.2,26.04,,,,,,,,,,
2834,Bình Tân,27.8,250.0,4.0,,True,,,,,,True,5.0
2835,Gò Vấp,2.2,26.04,,,,,,,,,,
2836,Bình Tân,5.7,56.0,5.0,4.0,True,,,True,,,True,3.0
2837,Bình Tân,5.5,,4.0,5.0,,,,,,,True,3.0
2838,Bình Thạnh,6.7,53.0,8.0,8.0,True,,,,,,,5.0
2839,Tân Bình,3.0,46.0,3.0,2.0,,,,,,,True,3.0
2840,Tân Phú,3.2,52.0,2.0,,,,,,,,,2.0
2841,Bình Thạnh,4.0,32.0,3.0,3.0,True,True,False,True,True,False,False,4.0
2842,Gò Vấp,3.2,32.0,2.0,2.0,,,,,,,,2.0
2843,Gò Vấp,1.35,15.0,,,,,True,,True,,,2.0
2844,Gò Vấp,1.35,15.0,,,,,True,,True,,,2.0
2845,Thủ Đức,6.0,150.0,4.0,,,,True,True,,,True,
2846,Quận Bình Thạnh,,30.0,3.0,4.0,,,,,,,True,2.0
2847,Bình Thạnh,3500000000.0,42.0,1.0,1.0,True,,,,,,,2.0
2848,,4200000000.0,33.0,2.0,,True,,,,,,True,3.0
2849,Gò Vấp,2.0,32.0,,,,,,,,,True,2.0
2850,,4.2,33.0,2.0,,True,,,,,,True,3.0
2851,Gò Vấp,2.68,21.0,3.0,2.0,True,,,,,,,3.0
2852,Quận Phú Nhuận,90,82.0,,,True,,,,,,,5.0
2853,Thủ Đức,7.5,84.0,5.0,7.0,,,True,True,,,True,5.0
2854,,,,,,,,,,,,,
2855,,,33.42,2.0,2.0,,,True,True,,,True,2.0
2856,Tân Bình,6.3,46.0,3.0,3.0,,,,,,,,2.0
2857,Tân Bình,8.3,70.0,2.0,2.0,True,True,True,,True,,,2.0
2858,Tp Thủ Đức,9.9,86.0,5.0,4.0,True,,True,,True,,,3.0
2859,Quận Tân Bình,,117.0,6.0,,True,,,True,,,,4.0
2860,Bình Tân,3.0,85.0,,,,,True,True,,,,
2861,Bình Thạnh,3.0,22.0,2.0,3.0,True,True,,True,True,,,4.0
2862,Tân Bình,3.95,30,3,,,,,,,,True,3
2863,Tân Bình,3.95,30,3,,,,,,,,True,3
2864,Phú Nhuận,3.0,,,4,True,,,,,,,5
2865,Bình Thạnh,4.4,25,3,4,,True,,True,True,,,4
2866,Quận 12,3.65,56,,,,,,,,True,,2
2867,Quận 12,3.65,56,,,,,,,,True,,2
2868,Tân Phú,4.25,,2,,,,,True,,,,2
2869,Quận 12,3.5,70,,,,,,,,,,
2870,Thủ Đức,6.25,65,5,4,True,,,True,,,,4
2871,Tân Hòa Đông,3.0,75.0,4,,,,True,True,,,,2
2872,Quận 12,1.0,,,,True,,True,,,,,
2873,Bình Thạnh,4.39,28.6,2,,,,,,,,,4
2874,Bình Thạnh,,,,,,,,,,,,
2875,Phú Nhuận,,65.0,,,True,,True,,,True,True,2
2876,Phú Nhuận,,51.0,4,,True,,,,,,,6
2877,Bình Thạnh,3.95,41.25,3,,True,,True,True,,,,2
2878,"['Thủ Đức', 'Tân Bình', None, 'Quận 2']","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]","[None, None, None, None]"
2879,Tân Phú,8.0,4.5,5,1,True,,,,,,,4
2880,Bình Tân,3.0,62.0,,,True,True,,True,,True,True,2
2881,Quận Bình Thạnh,2.9,27.887,2,2,,,,,,,,3
2882,Phú,3,,3,2,True,True,,,,,,2
2883,Quận 3,17.9,68,5,,True,True,True,True,,,,5
2884,TB,8.5,62,3,,,,,,,,,2
2885,Bình Thạnh,3.475,29.75,4,3,True,True,,True,,True,,4
2886,,,49.775,4,3,True,,True,True,,,,3
2887,,30.0,80.0,,,True,True,,,,,,
2888,Phú Nhuận,2.3,35,2,2,True,,,True,,,,2
2889,Quận Phú Nhuận,2.6,32,,,True,,,,,,True,2
2890,Bình Thạnh,3.0,25.0,2,1,4.1,True,False,True,True,False,False,2
2891,Quận 8,17.5,92,,,True,,,,,,,4
2892,Bình Tân,3.0,64.0,,,True,True,True,True,,,True,2
2893,Quận 8,19.0,80.0,6,7,True,,,,,,,2
2894,Quận 12,1,,,,True,,True,True,,,,
2895,Quận 10,12.0,44.0,2,1,True,True,,True,,,,2
2896,Bình Thạnh,3400000000,33.82,2,2,,,,,,,,2
2897,,4.5,120.0,2,2,8.0,,,,,,,2
2898,Gò Vấp,4,72,2,2,,,,,,,,
2899,Quận Bình Thạnh,21.0,125.0,15,,True,True,True,,True,,True,6
2900,,3.0,,3,2,True,True,,,,,,2
2901,Q.6,7.0,68.0,5,6,True,True,True,True,,,True,5
2902,Bình Tân,9.6,87,5,6,True,,,,,,True,5
2903,,2.5,,1,2,,,True,True,,,,2
2904,Bình Tân,6.5,110.0,6,,,,,,,,True,5
2905,Bình Thạnh,3,28,3,3,True,True,,True,,,,4
2906,Thủ Đức,7.0,90.0,4,3,True,True,True,,,,True,2
2907,Thủ Đức,7,90,4,3,True,True,True,,,,True,2
2908,,6.5,38,3,3,4.5,,,True,,,True,3
2909,,6.5,38,3,3,True,,,True,,,True,3
2910,Bình Thạnh,,38.1,2,4,True,,True,,True,,,4
2911,Bình Thạnh,,38.1,2,4,,,True,,True,,,4
2912,quận Phú Nhuận,2.3,35,2,2,True,,,True,,,,2
2913,Phú Nhuận,2.3,35,2,2,True,,,True,,,,2
2914,Phú Nhuận,3960.0,47.8,4,4,True,,,,,,,4
2915,Phú Nhuận,3960000000.0,47.8,4,4,True,,,,,,,4
2916,Gò Vấp,6.0,49.0,,,,,,,,,True,2
2917,Gò Vấp,6.0,49.0,,,,,,,,,True,2
2918,Bình Thạnh,,59,4,3,,,,,,,,4
2919,Bình Thạnh,,59.0,4,3,,,,,,,,
2920,Quận Bình Thạnh,2800000000.0,27.5,2,2,,,,,,,,2
2921,Bình Thạnh,2800000000,27.5,2,2,,,,,,,,2
2922,,6.5,38,3,3,,,,True,,,True,3
2923,,6.5,38,3,3,True,,,True,,,True,3
2924,,3.2,90,3,,True,,,,,,,2
2925,,3.2,90,3,,True,,,,,,,2
2926,Bình Tân,17.38,410,,,,,,True,,,True,4
2927,Bình Tân,17.38,410,,,,,,True,,,,4
2928,,30.0,80.0,,,True,True,,,,,,
2929,,3.0,,3,2,True,True,,,,,,2
2930,Phú Nhuận,3,20,2,3,True,True,,True,,,,3
2931,Gò Vấp,3.0,40.0,,,,,,,,,,
2932,,3.8,40,2,2,True,,True,,,,,2
2933,Gò Vấp,4.0,73.0,3,2,,,,,,,,
2934,Thủ Đức,15.0,240.0,4,4,True,,,True,,,,3
2935,Tân Bình,10.9,75,5,,True,,,,,True,,3
2936,Bình Chánh,680.0,160.0,2,2,True,,True,True,,,True,2
2937,Tân Phú,13.38,76,7,,True,,,,,,,5
2938,Phú Nhuận,4,18,3,3,True,,,True,,,,4
2939,Gò Vấp,5.7,49,3,3,True,,,,,,,2
2940,Bình Thạnh,4,34,2,2,,,,True,,,,2
2941,Tân Bình,29.0,89.0,14,,True,True,,True,,,,7
2942,Quận 12,5950000000.0,64,4,5,True,,True,True,,,,4
2943,Phường Phước Long A,4,77,3,2,True,,,,,,,2
2944,Gò Vấp,3.3,35,2,2,True,,,,,,True,2
2945,Gò Vấp,3.3,35,2,2,True,,,,,,True,2
2946,Bình Thạnh,6.0,83.0,2,,True,,,,,,True,2
2947,,29.0,68.0,3,3,True,,,,True,,,2
2948,Gò Vấp,3.3,40,4,3,,,,,,,,4
2949,Thủ Đức,23.0,240.0,5,6,True,True,,,,,True,3
2950,Quận 9,18.7,123,,,True,,True,,,,True,2
2951,Quận 9,16.0,7.0,12,,,,,,True,True,,3
2952,TP. Thủ Đức,3.3,50,1,1,True,,,,,,True,1
2953,,2500000000.0,,2,2,True,,,True,,,,3
2954,Quận 9,13.99,,3,2,True,,True,,,True,,2
2955,Quận 9,8.99,,5,6,True,,True,True,,,,3
2956,Quận 9,8.99,,5,6,True,,True,True,,,,3
2957,Q9,13.99,,3,2,True,,,,,True,,2
2958,,2.5,,2,2,True,,,True,,,,3
2959,TP. Thủ Đức,3.3,50,1,1,True,,,,,,,1
2960,Quận 9,16.0,196.0,12,,,,True,True,True,True,,3
2961,Quận 9,18.7,123,,,True,,True,,,,True,2
2962,Quận 9,16.0,7.0,12,,,,True,True,True,,,3
2963,TP. Thủ Đức,3.3,50,1,1,,,,,,,,1
2964,Tp Thủ Đức,2.5,,2,3,True,,,True,,,,3
2965,Quận 9,13.99,,3,2,True,,True,,,,,2
2966,Quận 9,8.99,,5,6,True,,True,True,,,,3
2967,Phường Phước Long A,13.99,,3,2,,,True,,,,,2
2968,,2500000000.0,,2,2,True,,,True,,,,3
2969,TP. Thủ Đức,3.3,50,1,1,,,,,,,,1
2970,Quận 9,16.0,7.0,12,,,,True,True,True,True,,3
2971,Quận 9,18.7,123,,,True,,True,,,,True,2
2972,Tân Phú,10.98,118,,,,,,,,,,5
2973,,2.0,80.0,5,4,,,,,,,True,4
2974,Q3,9.0,75.0,3,1,True,,,,,,,2
2975,Tân Bình,11950.0,103.0,,,True,,,,,,,3
2976,Q3,3.65,40,1,1,True,,,,,,,2
2977,,,54.324,4,5,True,,,,,,,3
2978,Phú Nhuận,5572000000.0,38.0,5,4,,,,,,,,3
2979,Bình Thạnh,7.0,87.0,2,2,True,,,,,,,3
2980,"['Quận 2', 'Quận Tân Bình', 'Tp. Nha Trang']",,,,,,,,,,,,
2981,Phú Nhuận,4,20,2,3,,,,True,,,,3
2982,,,,,,,,,,,,,
2983,Bình Thạnh,7.0,87.0,5,4,True,True,True,True,,True,,3
2984,,,,,,,,,,,,,
2985,,3.2,,3,3,True,True,True,True,,True,,2
2986,Quận 1,55.0,153.0,,,True,,,,,,True,4
2987,Quận 1,55.0,153.0,,,True,,,,,,True,4
2988,Quận 1,75.0,187.0,,,True,,,,,,True,3
2989,Quận 1,68000000000.0,176.0,,,True,,,,,,True,9
2990,Quận Tân Bình,,,,,,,,,,,,
2991,P. Bình Thọ,25,161.44,,,True,,,,,,,6
2992,Q3,140000000000,280,,,True,,,,,True,True,7
2993,Quận 8,14.3,150.7,3,3,True,,True,,,,,2
2994,Phú Nhuận,6.0,42.0,4,3,,,,,,,,4
2995,Tân Phú,18.0,240.0,38,,True,,,,,True,,6
2996,,29.0,68.0,3,3,True,,,,True,,True,2
2997,Quận 10,4900000000,36,2,2,True,True,,,,,True,3
2998,Bình Tân,6.48,84,4,,True,,,,,True,,4
2999,Quận Bình Thạnh,9.8,50,4,,True,True,True,True,,,True,3
